mouse_id,genotype,condition,panel_key,pair,metric,damaged,intact,ratio,pct_change,log2_ratio,damaged_area_mm2,intact_area_mm2
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_confluent_airspace_fraction,0.0,0.0,,,,0.029692949285512447,7.108414360623637
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_tissue_fraction,0.1856060091154304,0.22290664521433529,0.8326625208367451,-16.73374791632549,-0.26419620694160895,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_airspace_fraction,0.8143939908845695,0.7770933547856647,1.0480001995502755,4.800019955027546,0.06763899157971953,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_mli_direct_um,16.855039624329827,16.044362179220563,1.0505272466461266,5.052724664612662,0.07111358047025083,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_mli_indirect_um,27.267156380057838,26.785761171392252,1.0179720563319188,1.7972056331918784,0.02569795950331467,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_airspace_width_edmmean_um,11.816557376317537,12.099668770111583,0.9766017236361557,-2.3398276363844284,-0.034157770650323147,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_airspace_width_edmmedian_um,9.005914376815845,9.121798986657765,0.9872958601684358,-1.2704139831564154,-0.018445617057726564,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_wall_thickness_edmmean_um,5.03564190517076,5.375029063898002,0.9368585444482942,-6.3141455551705805,-0.09409686197505428,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_wall_thickness_edmmedian_um,3.5263052834135786,3.723224172386945,0.947110654675643,-5.288934532435697,-0.07839510359106534,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_wall_thickness_2a_over_b_um,3.2050089606894927,3.7882831289595735,0.8460320550459297,-15.396794495407029,-0.24121576868197944,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_surface_density_per_um,0.14746973468392516,0.1498375627215013,0.9841973668379993,-1.58026331620007,-0.022980438259629112,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_mli_anisotropy_ratio,1.0814620357732876,1.0608960751441303,1.0193854620739955,1.9385462073995496,0.02769968356358941,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_mean_airspace_component_eqdiam_um,10.758299461622562,30.266312451755017,0.3554545826741022,-64.45454173258977,-1.49226286004044,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_vs_intact,morph_confluent_airspace_fraction,0.030855040645582386,0.8676716815044712,0.035560732594248426,-96.44392674057517,-4.813571144032174,3.922630561191361,54.551112491056315
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_tissue_fraction,0.16230998811240102,0.2378860407179379,0.6823014398934505,-31.76985601065495,-0.5515188339967766,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_airspace_fraction,0.837690011887599,0.762113959282062,1.099166340788105,9.916634078810493,0.1364097310284875,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_mli_direct_um,20.77641561972345,17.545233327933506,1.1841629707281025,18.416297072810252,0.24386764590054416,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_mli_indirect_um,26.716231661537012,25.116288943590686,1.0637013979867678,6.370139798676777,0.08909321465122826,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_airspace_width_edmmean_um,13.739410503669774,15.188311067605714,0.9046042343031664,-9.539576569683362,-0.1446413458847831,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_airspace_width_edmmedian_um,9.966641904559765,9.77123616983599,1.0199980566764926,1.999805667649257,0.028566403543969155,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_edmmean_um,3.9118524690972403,5.830791851552382,0.6708955779403708,-32.91044220596292,-0.5758398603708942,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_edmmedian_um,3.372600395700765,3.756811938312601,0.897729364972044,-10.227063502795597,-0.1556475081164958,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_2a_over_b_um,2.743059861849547,3.790295734361067,0.7237060256228124,-27.62939743771876,-0.4665243112580955,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_surface_density_per_um,0.15067807906376499,0.15982178458357965,0.9427881152520049,-5.72118847479951,-0.08499452273868116,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_mli_anisotropy_ratio,1.0682445946246328,1.0469787394004157,1.020311639982676,2.0311639982675933,0.02900987061667806,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_mean_airspace_component_eqdiam_um,4.821464895999027,11.737153970729112,0.4107865422932266,-58.921345770677334,-1.2835391763394628,0.3011724309649323,4.904470815746917
m4-1,IFNg_KO_het,PR8,LEFT,damaged_core_vs_intact_core,morph_confluent_airspace_fraction,0.0,0.5303394468273923,0.0,-100.0,,0.3011724309649323,4.904470815746917
